slide.id,rep,color,sample,ant.species,year,Season,site,webers,mandible,
14,6,silver,S15,Pheidole vistana,2023,summer,Sheephole,1.204,0.363,
16,5,gold,O29,Pogonomyrmex californicus,2023,spring,Sheephole,2.509,1.048,
16,6,silver,O30,Pogonomyrmex californicus,2023,spring,Sheephole,2.035,0.798,
16,6.5,,O5,Pogonomyrmex californicus,2024,spring,Sheephole,2.224,1.188,
16,1,red,S34,Solenopsis xyloni,2024,spring,Sheephole,0.794,0.375,
16,2,blue,S34,Solenopsis xyloni,2024,spring,Sheephole,0.833,0.392,
16,3,orange,S34,Solenopsis xyloni,2024,spring,Sheephole,0.935,0.379,
16,4,pink,S35,Solenopsis xyloni,2024,spring,Sheephole,0.766,0.246,
19,1,red,S30,Aphaenogaster megommata,2024,spring,Tecopa,1.744,0.602,
19,2,blue,S34,Aphaenogaster megommata,2024,spring,Tecopa,1.812,0.65,
19,3,orange,S39,Aphaenogaster megommata,2024,spring,Tecopa,1.694,0.547,
19,4,pink,S20,Aphaenogaster megommata,2023,summer,Tecopa,1.768,0.613,
19,5,gold,O24,Aphaenogaster megommata,2023,summer,Tecopa,1.663,0.579,
19,6,silver,O29,Aphaenogaster megommata,2023,summer,Tecopa,1.631,0.572,
19,7,red,S9,Crematogaster depilis,2024,spring,Tecopa,0.994,0.455,
19,8,blue,S4,Crematogaster depilis,2023,spring,Tecopa,0.776,0.326,
21,7,red,O14,Dorymyrmex insanus,2024,spring,Tecopa,1.038,0.389,
21,8,blue,O14,Dorymyrmex insanus,2024,spring,Tecopa,0.94,0.402,
20,1,red,O4,Messor pergandei,2023,spring,Tecopa,1.757,0.635,
20,2,blue,O9,Messor pergandei,2023,spring,Tecopa,1.781,0.821,
20,3,orange,O39,Messor pergandei,2023,summer,Tecopa,1.998,0.811,
20,4,pink,S10,Messor pergandei,2023,summer,Tecopa,1.343,0.614,
20,5,gold,S10,Messor pergandei,2024,spring,Tecopa,1.286,0.537,
20,6,silver,S40,Messor pergandei,2024,spring,Tecopa,1.46,0.665,
21,1,red,O25,Monomorium ergotyna/minima,2023,summer,Tecopa,0.708,0.279,
21,2,blue,S30,Monomorium ergotyna/minima,2023,summer,Tecopa,0.651,0.334,
21,3,orange,O29,Monomorium ergotyna/minima,2023,spring,Tecopa,0.792,0.407,
