Year,Visit,Site,Microsite,Rep,Size,ending.weight,,,,
2023,Summer,Tecopa,open,33,large,disturbed,,,,
2023,Summer,Tecopa,shrub,36,small,disturbed,,,,
2023,Summer,Tecopa,open,36,small,disturbed,,,,
2023,Summer,Tecopa,shrub,37,med,0,,,,
2023,Summer,Tecopa,open,37,med,0,,,,
2023,Summer,Tecopa,shrub,38,large,disturbed,,,,
2023,Summer,Tecopa,open,38,large,disturbed,,,,
2023,Summer,HOM,shrub,1,small,disturbed,,,,
2023,Summer,HOM,open,1,small,disturbed,,,,
2023,Summer,HOM,shrub,2,med,1.4,,,,
2023,Summer,HOM,open,2,med,1.8,,,,
2023,Summer,HOM,shrub,3,large,1.9,,,,
2023,Summer,HOM,open,3,large,disturbed,,,,
2023,Summer,HOM,shrub,6,small,0,,,,
2023,Summer,HOM,open,6,small,1.6,,,,
2023,Summer,HOM,shrub,7,med,1.8,,,,
2023,Summer,HOM,open,7,med,1.8,,,,
2023,Summer,HOM,shrub,8,large,1.9,,,,
2023,Summer,HOM,open,8,large,1.8,,,,
2023,Summer,HOM,shrub,11,small,1.8,,,,
2023,Summer,HOM,open,11,small,1.8,,,,
2023,Summer,HOM,shrub,12,med,1.8,,,,
2023,Summer,HOM,open,12,med,1.9,,,,
2023,Summer,HOM,shrub,13,large,1.9,,,,
2023,Summer,HOM,open,13,large,1.9,,,,
2023,Summer,HOM,shrub,16,small,0,,,,
2023,Summer,HOM,open,16,small,0,,,,
2023,Summer,HOM,shrub,17,med,1.7,,,,
2023,Summer,HOM,open,17,med,1.9,,,,
2023,Summer,HOM,shrub,18,large,1.5,,,,
2023,Summer,HOM,open,18,large,1.4,,,,
2023,Summer,HOM,shrub,21,small,1.9,,,,
2023,Summer,HOM,open,21,small,1.8,,,,
2023,Summer,HOM,shrub,22,med,1.9,,,,
2023,Summer,HOM,open,22,med,disturbed,,,,
2023,Summer,HOM,shrub,23,large,disturbed,,,,
2023,Summer,HOM,open,23,large,1.9,,,,
2023,Summer,HOM,shrub,26,small,1.8,,,,
2023,Summer,HOM,open,26,small,1.9,,,,
2023,Summer,HOM,shrub,27,med,disturbed,,,,
2023,Summer,HOM,open,27,med,disturbed,,,,
2023,Summer,HOM,shrub,28,large,1.8,,,,
2023,Summer,HOM,open,28,large,1.9,,,,
2023,Summer,Sheephole,shrub,1,small,disturbed,,,,
2023,Summer,Sheephole,open,1,small,disturbed,,,,
2023,Summer,Sheephole,shrub,2,med,disturbed,,,,
2023,Summer,Sheephole,open,2,med,disturbed,,,,
2023,Summer,Sheephole,shrub,3,large,disturbed,,,,
2023,Summer,Sheephole,open,3,large,disturbed,,,,
2023,Summer,Sheephole,shrub,6,small,disturbed,,,,
2023,Summer,Sheephole,open,6,small,disturbed,,,,
2023,Summer,Sheephole,shrub,7,med,disturbed,,,,
2023,Summer,Sheephole,open,7,med,disturbed,,,,
